,Core_replaced,cores,thread
0,"6 Core, 12 Threads",6 Core, 12 Threads
1,"2 Core, 4 Threads",2 Core, 4 Threads
2,"4 Core, 8 Threads",4 Core, 8 Threads
3,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
4,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
5,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
6,8 Core (4P + 4E),8 Core (4P + 4E),None
7,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
8,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
9,"6 Core, 12 Threads",6 Core, 12 Threads
10,"4 Core, 8 Threads",4 Core, 8 Threads
11,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
12,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
13,"8 Core, 16 Threads",8 Core, 16 Threads
14,8 Core (4P + 4E),8 Core (4P + 4E),None
15,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
16,"4 Core, 8 Threads",4 Core, 8 Threads
17,8 Core (4P + 4E),8 Core (4P + 4E),None
18,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
19,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
20,"6 Core, 12 Threads",6 Core, 12 Threads
21,"6 Core, 12 Threads",6 Core, 12 Threads
22,"8 Core, 16 Threads",8 Core, 16 Threads
23,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
24,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
25,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
26,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
27,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
28,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
29,"12 Cores (2P + 8E + 2LP-E), 14 Threads",12 Cores (2P + 8E + 2LP-E), 14 Threads
30,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
31,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
32,"12 Cores (2P + 8E + 2LP-E), 14 Threads",12 Cores (2P + 8E + 2LP-E), 14 Threads
33,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
34,"4 Core, 8 Threads",4 Core, 8 Threads
35,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
36,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
37,"8 Core, 16 Threads",8 Core, 16 Threads
38,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
39,"4 Core, 8 Threads",4 Core, 8 Threads
40,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
41,"8 Core, 16 Threads",8 Core, 16 Threads
42,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
43,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
44,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
45,"2 Core, 2 Threads",2 Core, 2 Threads
46,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
47,"8 Core, 16 Threads",8 Core, 16 Threads
48,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
49,"6 Core, 12 Threads",6 Core, 12 Threads
50,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
51,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
52,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
53,"8 Core, 16 Threads",8 Core, 16 Threads
54,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
55,"8 Core, 16 Threads",8 Core, 16 Threads
56,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
57,"8 Core, 16 Threads",8 Core, 16 Threads
58,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
59,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
60,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
61,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
62,"8 Core, 16 Threads",8 Core, 16 Threads
63,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
64,"20 Cores (8P + 12E), 28 Threads",20 Cores (8P + 12E), 28 Threads
65,32 GB DDR5 RAM,None,None
66,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
67,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
68,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
69,16 Cores (12P + 4E),16 Cores (12P + 4E),None
70,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
71,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
72,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
73,14 Cores (6P + 8E),14 Cores (6P + 8E),None
74,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
75,"4 Core, 8 Threads",4 Core, 8 Threads
76,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
77,"8 Core, 16 Threads",8 Core, 16 Threads
78,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
79,"8 Core, 16 Threads",8 Core, 16 Threads
80,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
81,"8 Core, 16 Threads",8 Core, 16 Threads
82,"6 Core, 12 Threads",6 Core, 12 Threads
83,"6 Core, 12 Threads",6 Core, 12 Threads
84,"8 Core, 16 Threads",8 Core, 16 Threads
85,"2 Core, 2 Threads",2 Core, 2 Threads
86,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
87,"4 Core, 4 Threads",4 Core, 4 Threads
88,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
89,"6 Core, 12 Threads",6 Core, 12 Threads
90,"6 Core, 12 Threads",6 Core, 12 Threads
91,"14 Cores (6P + 8E), 20 Threads",14 Cores (6P + 8E), 20 Threads
92,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
93,"8 Core, 16 Threads",8 Core, 16 Threads
94,"6 Core, 12 Threads",6 Core, 12 Threads
95,"16 Cores (8P + 8E), 24 Threads",16 Cores (8P + 8E), 24 Threads
96,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
97,"2 Core, 4 Threads",2 Core, 4 Threads
98,"6 Core, 12 Threads",6 Core, 12 Threads
99,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
100,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
101,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
102,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
103,"8 Core, 16 Threads",8 Core, 16 Threads
104,"6 Core, 12 Threads",6 Core, 12 Threads
105,"8 Core, 16 Threads",8 Core, 16 Threads
106,"6 Core, 12 Threads",6 Core, 12 Threads
107,"2 Core, 4 Threads",2 Core, 4 Threads
108,Memory: 8 GB LPDDR4 Memory (On BD 8 GB),None,None
109,4 Core,4 Core,None
110,32 GB LPDDR5X RAM,None,None
111,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
112,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
113,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
114,"12 Cores (2P + 8E + 2LP-E), 14 Threads",12 Cores (2P + 8E + 2LP-E), 14 Threads
115,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
116,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
117,"12 Cores (2P + 8E + 2LP-E), 14 Threads",12 Cores (2P + 8E + 2LP-E), 14 Threads
118,"12 Cores (2P + 8E + 2LP-E), 14 Threads",12 Cores (2P + 8E + 2LP-E), 14 Threads
119,"8 Core, 16 Threads",8 Core, 16 Threads
120,8 Core (4P + 4E),8 Core (4P + 4E),None
121,8 Core (4P + 4E),8 Core (4P + 4E),None
122,8 Core (4P + 4E),8 Core (4P + 4E),None
123,8 Core (4P + 4E),8 Core (4P + 4E),None
124,"20 Cores (8P + 12E), 28 Threads",20 Cores (8P + 12E), 28 Threads
125,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
126,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
127,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
128,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
129,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
130,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
131,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
132,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
133,"4 Core, 8 Threads",4 Core, 8 Threads
134,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
135,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
136,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
137,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
138,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 Cores (6P + 8E + 2LP-E), 22 Threads
139,"14 Cores (4P + 8E + 2LP-E), 18 Threads",14 Cores (4P + 8E + 2LP-E), 18 Threads
140,"2 Core, 4 Threads",2 Core, 4 Threads
141,"10 Cores (6P + 4E), 16 Threads",10 Cores (6P + 4E), 16 Threads
142,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
143,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
144,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
145,"8 Core (4P + 4E), 12 Threads",8 Core (4P + 4E), 12 Threads
146,"6 Core (2P + 4E), 8 Threads",6 Core (2P + 4E), 8 Threads
147,"2 Core, 4 Threads",2 Core, 4 Threads
148,"10 Cores (2P + 8E), 12 Threads",10 Cores (2P + 8E), 12 Threads
149,"4 Core, 8 Threads",4 Core, 8 Threads
150,"24 Cores (8P + 16E), 32 Threads",24 Cores (8P + 16E), 32 Threads
151,"6 Core, 12 Threads",6 Core, 12 Threads
152,"4 Core, 8 Threads",4 Core, 8 Threads
153,"8 Core, 16 Threads",8 Core, 16 Threads
154,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
155,"12 Cores (4P + 8E), 16 Threads",12 Cores (4P + 8E), 16 Threads
