,Generation,brand,gen,model,Model_Number
0,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
1,11th Gen Intel Core i3 1115G4,Intel,11th,i3,1115G4
2,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
3,12th Gen Intel Core i5 1240P,Intel,12th,i5,1240P
4,14th Gen Intel Core i9 14900HX,Intel,14th,i9,14900HX
5,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
6,Apple M1,Apple,None,M1,M1
7,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
8,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
9,7th Gen Amd Ryzen 5 7535HS,Amd,7th,Ryzen 5,7535HS
10,11th Gen Intel Core i5 1135G7,Intel,11th,i5,1135G7
11,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
12,12th Gen Intel Core i5 12500H,Intel,12th,i5,12500H
13,7th Gen AMD Ryzen 7 7840HS,AMD,7th,Ryzen 7,7840HS
14,Apple M3,Apple,None,M3,M3
15,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
16,5th Gen AMD Ryzen 3 5300U,AMD,5th,Ryzen 3,5300U
17,Apple M2,Apple,None,M2,M2
18,Intel Core 5 Processor Series 1 120U,Intel,None,None,120U
19,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
20,11th Gen Intel Core i5 11400H ,Intel,11th,i5,11400H
21,5th Gen AMD Ryzen 5 5600H,AMD,5th,Ryzen 5,5600H
22,5th Gen AMD Ryzen 7 5800U,AMD,5th,Ryzen 7,5800U
23,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
24,13th Gen Intel Core i7 1355U,Intel,13th,i7,1355U
25,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
26,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
27,Intel Core 3 Processor 100U,Intel,None,None,100U
28,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
29,Intel Core Ultra 7 155U,Intel,None,Ultra 7,155U
30,12th Gen Intel Core i5 1235U,Intel,12th,i5,1235U
31,Intel Core Ultra 7 Series 1 155H,Intel,None,Ultra 7,155H
32,Intel Core Ultra 5 125U,Intel,None,Ultra 5,125U
33,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
34,7th Gen AMD Ryzen 3 7320U,AMD,7th,Ryzen 3,7320U
35,Intel Core 7 Processor Series 1 150U,Intel,None,None,150U
36,13th Gen Intel Core i5 13450HX,Intel,13th,i5,13450HX
37,6th Gen AMD Ryzen 9 6900HS,AMD,6th,Ryzen 9,6900HS
38,Intel Core Ultra 7 Series 1 155H,Intel,None,Ultra 7,155H
39,7th Gen AMD Ryzen 3 7330U,AMD,7th,Ryzen 3,7330U
40,12th Gen Intel Core i3 1215U,Intel,12th,i3,1215U
41,11th Gen Intel Core i7 11800H,Intel,11th,i7,11800H
42,13th Gen Intel Core i5 13420H,Intel,13th,i5,13420H
43,12th Gen Intel Core i5 12450H,Intel,12th,i5,12450H
44,12th Gen Intel Core i7 12650H,Intel,12th,i7,12650H
45,3rd Gen AMD Athlon 3050U,AMD,3rd,Athlon,3050U
46,12th Gen Intel Core i7 12700H,Intel,12th,i7,12700H
47,6th Gen AMD Ryzen 7  6800H,AMD,6th,Ryzen 7,6800H
48,12th Gen Intel Core i5 1240P,Intel,12th,i5,1240P
49,11th Gen Intel Core i5 11400H ,Intel,11th,i5,11400H
50,12th Gen Intel Core i5 1240P,Intel,12th,i5,1240P
51,Intel Core 5 Processor Series 1 120U,Intel,None,None,120U
52,Intel Core 5 Processor Series 1 120U,Intel,None,None,120U
53,7th Gen AMD Ryzen 7 7730U,AMD,7th,Ryzen 7,7730U
54,Intel Core Ultra 5 Series 1 125H,Intel,None,Ultra 5,125H
55,8th Gen AMD Ryzen 7 8840HS,AMD,8th,Ryzen 7,8840HS
56,14th Gen Intel Core i9 14900HX,Intel,14th,i9,14900HX
