,Ram,memory_gb,memory_type
0,8GB DDR4 RAM,8GB,DDR4
1,8GB LPDDR4 RAM,8GB,LPDDR4 
2,8GB LPDDR5 RAM,8GB,LPDDR5 
3,16GB LPDDR5 RAM,16GB,LPDDR5 
4,16GB DDR5 RAM,16GB,DDR5
5,8GB DDR4 RAM,8GB,DDR4
6,8GB DDR4 RAM,8GB,DDR4
7,8GB LPDDR4 RAM,8GB,LPDDR4 
8,16GB DDR4 RAM,16GB,DDR4
9,16GB DDR5 RAM,16GB,DDR5
10,8GB DDR4 RAM,8GB,DDR4
11,16GB DDR4 RAM,16GB,DDR4
12,16GB DDR4 RAM,16GB,DDR4
13,16GB DDR5 RAM,16GB,DDR5
14,8GB  RAM,8GB,None
15,8GB DDR4 RAM,8GB,DDR4
16,8GB DDR4 RAM,8GB,DDR4
17,8GB DDR4 RAM,8GB,DDR4
18,16GB LPDDR4x RAM,16GB,LPDDR4x
19,8GB DDR4 RAM,8GB,DDR4
20,8GB DDR4 RAM,8GB,DDR4
21,16GB DDR4 RAM,16GB,DDR4
22,16GB DDR4 RAM,16GB,DDR4
23,16GB LPDDR5 RAM,16GB,LPDDR5 
24,16GB DDR4 RAM,16GB,DDR4
25,8GB DDR4 RAM,8GB,DDR4
26,8GB DDR4 RAM,8GB,DDR4
27,16GB DDR4 RAM,16GB,DDR4
28,8GB DDR4 RAM,8GB,DDR4
29,32GB LPDDR5 RAM,32GB,LPDDR5 
30,8GB DDR4 RAM,8GB,DDR4
31,16GB LPDDR5x RAM,16GB,LPDDR5x
32,16GB LPDDR5 RAM,16GB,LPDDR5 
33,16GB DDR4 RAM,16GB,DDR4
34,8GB LPDDR5 RAM,8GB,LPDDR5 
35,16GB LPDDR4x RAM,16GB,LPDDR4x
36,16GB DDR5 RAM,16GB,DDR5
37,16GB LPDDR5 RAM,16GB,LPDDR5 
38,16GB LPDDR5X RAM,16GB,LPDDR5X
39,8GB DDR4 RAM,8GB,DDR4
40,8GB DDR4 RAM,8GB,DDR4
41,16GB DDR4 RAM,16GB,DDR4
42,16GB DDR5 SDRAM RAM,16GB,DDR5
43,16GB DDR5 RAM,16GB,DDR5
44,16GB DDR4 RAM,16GB,DDR4
45,4GB DDR4 RAM,4GB,DDR4
46,16GB DDR4 RAM,16GB,DDR4
47,16GB DDR5 RAM,16GB,DDR5
48,16GB DDR5 RAM,16GB,DDR5
49,16GB DDR4 RAM,16GB,DDR4
50,16GB LPDDR5 RAM,16GB,LPDDR5 
51,8GB LPDDR4x RAM,8GB,LPDDR4x
52,16GB DDR4 RAM,16GB,DDR4
53,16GB DDR4 RAM,16GB,DDR4
54,16GB LPDDR5 RAM,16GB,LPDDR5 
55,16GB LPDDR5 RAM,16GB,LPDDR5 
56,32GB DDR5 RAM,32GB,DDR5
57,16GB DDR4 RAM,16GB,DDR4
58,32GB LPDDR4X RAM,32GB,LPDDR4X
