,SSD,ssd_size,ssd_type
0,512GB SSD,512GB,SSD
1,512GB SSD,512GB,SSD
2,512GB SSD,512GB,SSD
3,512GB SSD,512GB,SSD
4,1TB SSD,1TB,SSD
5,512GB SSD,512GB,SSD
6,256GB SSD,256GB,SSD
7,512GB SSD,512GB,SSD
8,512GB SSD,512GB,SSD
9,512GB SSD,512GB,SSD
10,512GB SSD,512GB,SSD
11,512GB SSD,512GB,SSD
12,512GB SSD,512GB,SSD
13,1TB SSD,1TB,SSD
14,256GB SSD,256GB,SSD
15,512GB SSD,512GB,SSD
16,512GB SSD,512GB,SSD
17,256GB SSD,256GB,SSD
18,512GB SSD,512GB,SSD
19,512GB SSD,512GB,SSD
20,512GB SSD,512GB,SSD
21,512GB SSD,512GB,SSD
22,512GB SSD,512GB,SSD
23,1TB SSD,1TB,SSD
24,512GB SSD,512GB,SSD
25,512GB SSD,512GB,SSD
26,512GB SSD,512GB,SSD
27,512GB SSD,512GB,SSD
28,512GB SSD,512GB,SSD
29,1TB SSD,1TB,SSD
30,512GB SSD,512GB,SSD
31,1TB SSD,1TB,SSD
32,512GB SSD,512GB,SSD
33,512GB SSD,512GB,SSD
34,1TB SSD,1TB,SSD
35,512GB SSD,512GB,SSD
36,1TB SSD,1TB,SSD
37,512GB SSD,512GB,SSD
38,512GB SSD,512GB,SSD
39,512GB SSD,512GB,SSD
40,512GB SSD,512GB,SSD
41,1TB SSD,1TB,SSD
42,512GB SSD,512GB,SSD
43,512GB SSD,512GB,SSD
44,512GB SSD,512GB,SSD
45,256GB SSD,256GB,SSD
46,512GB SSD,512GB,SSD
47,1TB SSD,1TB,SSD
48,512GB SSD,512GB,SSD
49,512GB SSD,512GB,SSD
50,512GB SSD,512GB,SSD
51,512GB SSD,512GB,SSD
52,512GB SSD,512GB,SSD
53,1TB SSD,1TB,SSD
54,1TB SSD,1TB,SSD
55,512GB SSD,512GB,SSD
56,2TB SSD,2TB,SSD
57,512GB SSD,512GB,SSD
58,1TB SSD,1TB,SSD
59,1TB SSD,1TB,SSD
60,512GB SSD,512GB,SSD
61,512GB SSD,512GB,SSD
62,1TB SSD,1TB,SSD
63,512GB SSD,512GB,SSD
64,1TB SSD,1TB,SSD
65,2TB SSD,2TB,SSD
66,512GB SSD,512GB,SSD
67,1TB SSD,1TB,SSD
68,512GB SSD,512GB,SSD
69,1TB SSD,1TB,SSD
70,512GB SSD,512GB,SSD
71,512GB SSD,512GB,SSD
72,512GB SSD,512GB,SSD
73,1TB SSD,1TB,SSD
74,512GB SSD,512GB,SSD
75,512GB SSD,512GB,SSD
76,1TB SSD,1TB,SSD
77,512GB SSD,512GB,SSD
78,512GB SSD,512GB,SSD
79,512GB SSD,512GB,SSD
80,512GB SSD,512GB,SSD
81,512GB SSD,512GB,SSD
82,512GB SSD,512GB,SSD
83,1TB Hard Disk,1TB,Hard Disk
84,512GB SSD,512GB,SSD
85,256GB SSD,256GB,SSD
86,512GB SSD,512GB,SSD
87,128GB SSD,128GB,SSD
88,512GB SSD,512GB,SSD
89,512GB SSD,512GB,SSD
90,512GB SSD,512GB,SSD
91,1TB SSD,1TB,SSD
92,512GB SSD,512GB,SSD
93,512GB SSD,512GB,SSD
94,512GB SSD,512GB,SSD
95,1TB SSD,1TB,SSD
96,512GB SSD,512GB,SSD
97,512GB SSD,512GB,SSD
